Country,Year,Overall
Türkiye,1995,69.3
Türkiye,1996,69.7
Türkiye,1997,70.1
Türkiye,1998,70.3
Türkiye,1999,70.7
Türkiye,2000,71.1
Türkiye,2001,71.5
Türkiye,2002,71.9
Türkiye,2003,72.3
Türkiye,2004,72.7
Türkiye,2005,73.1
Türkiye,2006,73.4
Türkiye,2007,73.7
Türkiye,2008,73.9
Türkiye,2009,74.1
Türkiye,2010,74.3
Türkiye,2011,74.6
Türkiye,2012,74.6
Türkiye,2013,78
Türkiye,2014,78
Türkiye,2015,78
Türkiye,2016,78
Türkiye,2017,78.1
Türkiye,2018,78.3
Türkiye,2019,78.6
New Zealand,1990,75.5
New Zealand,1991,75.8
New Zealand,1992,76.1
New Zealand,1993,76.3
New Zealand,1994,76.6
New Zealand,1995,76.8
New Zealand,1996,77.1
New Zealand,1997,77.4
New Zealand,1998,77.7
New Zealand,1999,78.1
New Zealand,2000,78.4
New Zealand,2001,78.7
New Zealand,2002,79
New Zealand,2003,79.3
New Zealand,2004,79.6
New Zealand,2005,79.8
New Zealand,2006,80.1
New Zealand,2007,80.3
New Zealand,2008,80.5
New Zealand,2009,80.7
New Zealand,2010,80.8
New Zealand,2011,81
New Zealand,2012,81.2
New Zealand,2013,81.4
New Zealand,2014,81.4
New Zealand,2015,81.5
New Zealand,2016,81.6
New Zealand,2017,81.7
New Zealand,2018,81.7
New Zealand,2019,82.1
New Zealand,2020,82.3
New Zealand,2021,82.3
Belgium,1990,76.2
Belgium,1991,76.3
Belgium,1992,76.5
Belgium,1993,76.5
Belgium,1994,76.8
Belgium,1995,77
Belgium,1996,77.3
Belgium,1997,77.5
Belgium,1998,77.6
Belgium,1999,77.7
Belgium,2000,77.9
Belgium,2001,78.1
Belgium,2002,78.2
Belgium,2003,78.3
Belgium,2004,79
Belgium,2005,79.1
Belgium,2006,79.5
Belgium,2007,79.9
Belgium,2008,79.8
Belgium,2009,80.2
Belgium,2010,80.3
Belgium,2011,80.7
Belgium,2012,80.5
Belgium,2013,80.7
Belgium,2014,81.4
Belgium,2015,81.1
Belgium,2016,81.5
Belgium,2017,81.6
Belgium,2018,81.7
Belgium,2019,82.1
Belgium,2020,80.8
Belgium,2021,81.9
Belgium,2022,81.8
Australia,1990,76.9
Australia,1991,77.3
Australia,1992,77.4
Australia,1993,77.9
Australia,1994,77.9
Australia,1995,77.8
Australia,1996,78.1
Australia,1997,78.4
Australia,1998,78.6
Australia,1999,78.9
Australia,2000,79.2
Australia,2001,79.6
Australia,2002,79.9
Australia,2003,80.2
Australia,2004,80.5
Australia,2005,80.8
Australia,2006,81
Australia,2007,81.3
Australia,2008,81.4
Australia,2009,81.5
Australia,2010,81.7
Australia,2011,81.9
Australia,2012,82
Australia,2013,82.1
Australia,2014,82.3
Australia,2015,82.4
Australia,2016,82.4
Australia,2017,82.5
Australia,2018,82.7
Australia,2019,82.9
Australia,2020,83.2
Australia,2021,83.3
Ireland,1990,74.8
Ireland,1991,75
Ireland,1992,75.4
Ireland,1993,75.3
Ireland,1994,75.8
Ireland,1995,75.5
Ireland,1996,75.8
Ireland,1997,76
Ireland,1998,76.2
Ireland,1999,76.1
Ireland,2000,76.6
Ireland,2001,77.2
Ireland,2002,77.7
Ireland,2003,78.2
Ireland,2004,78.6
Ireland,2005,79
Ireland,2006,79.3
Ireland,2007,79.7
Ireland,2008,80.2
Ireland,2009,80.2
Ireland,2010,80.8
Ireland,2011,80.9
Ireland,2012,80.9
Ireland,2013,81
Ireland,2014,81.4
Ireland,2015,81.5
Ireland,2016,81.7
Ireland,2017,82.2
Ireland,2018,82.2
Ireland,2019,82.8
Ireland,2020,82.6
Ireland,2021,82.4
Estonia,1990,69.9
Estonia,1991,69.8
Estonia,1992,69.1
Estonia,1993,68.1
Estonia,1994,66.6
Estonia,1995,67.7
Estonia,1996,69.9
Estonia,1997,70.1
Estonia,1998,69.7
Estonia,1999,70.6
Estonia,2000,71.1
Estonia,2001,70.9
Estonia,2002,71.4
Estonia,2003,71.9
Estonia,2004,72.4
Estonia,2005,73
Estonia,2006,73.2
Estonia,2007,73.2
Estonia,2008,74.4
Estonia,2009,75.3
Estonia,2010,76
Estonia,2011,76.6
Estonia,2012,76.7
Estonia,2013,77.5
Estonia,2014,77.4
Estonia,2015,78
Estonia,2016,78
Estonia,2017,78.4
Estonia,2018,78.5
Estonia,2019,79
Estonia,2020,78.9
Estonia,2021,77.2
Estonia,2022,78.2
Sweden,1990,77.7
Sweden,1991,77.8
Sweden,1992,78.2
Sweden,1993,78.2
Sweden,1994,78.9
Sweden,1995,79
Sweden,1996,79.2
Sweden,1997,79.4
Sweden,1998,79.5
Sweden,1999,79.6
Sweden,2000,79.8
Sweden,2001,79.9
Sweden,2002,80
Sweden,2003,80.3
Sweden,2004,80.7
Sweden,2005,80.7
Sweden,2006,81
Sweden,2007,81.1
Sweden,2008,81.3
Sweden,2009,81.5
Sweden,2010,81.6
Sweden,2011,81.9
Sweden,2012,81.8
Sweden,2013,82
Sweden,2014,82.3
Sweden,2015,82.2
Sweden,2016,82.4
Sweden,2017,82.5
Sweden,2018,82.6
Sweden,2019,83.2
Sweden,2020,82.4
Sweden,2021,83.1
Sweden,2022,83.1
Israel,1990,76.7
Israel,1991,76.8
Israel,1992,76.6
Israel,1993,77.2
Israel,1994,77.4
Israel,1995,77.4
Israel,1996,78.1
Israel,1997,78.1
Israel,1998,78.2
Israel,1999,78.5
Israel,2000,78.8
Israel,2001,79.3
Israel,2002,79.6
Israel,2003,79.8
Israel,2004,80.3
Israel,2005,80.3
Israel,2006,80.7
Israel,2007,80.7
Israel,2008,81.1
Israel,2009,81.5
Israel,2010,81.7
Israel,2011,81.8
Israel,2012,81.8
Israel,2013,82.1
Israel,2014,82.2
Israel,2015,82.2
Israel,2016,82.5
Israel,2017,82.7
Israel,2018,82.9
Israel,2019,82.9
Israel,2020,82.7
Israel,2021,82.6
Israel,2022,82.9
Brazil,1990,65.9
Brazil,1991,66
Brazil,1992,66.3
Brazil,1993,66.7
Brazil,1994,67.1
Brazil,1995,67.6
Brazil,1996,67.9
Brazil,1997,68.4
Brazil,1998,68.8
Brazil,1999,69.2
Brazil,2000,69.5
Brazil,2001,69.7
Brazil,2002,70.2
Brazil,2003,70.4
Brazil,2004,70.7
Brazil,2005,71.1
Brazil,2006,71.8
Brazil,2007,72
Brazil,2008,72.4
Brazil,2009,72.7
Brazil,2010,72.9
Brazil,2011,73.2
Brazil,2012,73.3
Brazil,2013,73.6
Brazil,2014,73.9
Brazil,2015,74.3
Brazil,2016,74.3
Brazil,2017,74.4
Brazil,2018,74.8
Brazil,2019,75.1
Brazil,2020,75.3
Brazil,2021,74
Brazil,2022,72.8
Finland,1990,75.1
Finland,1991,75.5
Finland,1992,75.7
Finland,1993,75.9
Finland,1994,76.7
Finland,1995,76.7
Finland,1996,77
Finland,1997,77.2
Finland,1998,77.4
Finland,1999,77.6
Finland,2000,77.8
Finland,2001,78.2
Finland,2002,78.3
Finland,2003,78.6
Finland,2004,79
Finland,2005,79.1
Finland,2006,79.5
Finland,2007,79.6
Finland,2008,79.9
Finland,2009,80.1
Finland,2010,80.2
Finland,2011,80.6
Finland,2012,80.7
Finland,2013,81.1
Finland,2014,81.3
Finland,2015,81.6
Finland,2016,81.5
Finland,2017,81.7
Finland,2018,81.8
Finland,2019,82.1
Finland,2020,82
Finland,2021,81.9
Finland,2022,81.2
Netherlands,1990,77.1
Netherlands,1991,77.2
Netherlands,1992,77.4
Netherlands,1993,77.1
Netherlands,1994,77.6
Netherlands,1995,77.6
Netherlands,1996,77.6
Netherlands,1997,78
Netherlands,1998,78.1
Netherlands,1999,78
Netherlands,2000,78.2
Netherlands,2001,78.4
Netherlands,2002,78.5
Netherlands,2003,78.7
Netherlands,2004,79.3
Netherlands,2005,79.6
Netherlands,2006,80
Netherlands,2007,80.4
Netherlands,2008,80.5
Netherlands,2009,80.9
Netherlands,2010,81
Netherlands,2011,81.3
Netherlands,2012,81.2
Netherlands,2013,81.4
Netherlands,2014,81.8
Netherlands,2015,81.6
Netherlands,2016,81.7
Netherlands,2017,81.8
Netherlands,2018,81.9
Netherlands,2019,82.2
Netherlands,2020,81.4
Netherlands,2021,81.4
Netherlands,2022,81.7
Indonesia,1990,62.7
Indonesia,1991,63.2
Indonesia,1992,63.5
Indonesia,1993,64.1
Indonesia,1994,64.6
Indonesia,1995,64.9
Indonesia,1996,65.2
Indonesia,1997,65.4
Indonesia,1998,65.7
Indonesia,1999,66
Indonesia,2000,66.2
Indonesia,2001,66.4
Indonesia,2002,66.8
Indonesia,2003,67.1
Indonesia,2004,67.4
Indonesia,2005,65.8
Indonesia,2006,67.6
Indonesia,2007,67.9
Indonesia,2008,68.2
Indonesia,2009,68.2
Indonesia,2010,68.5
Indonesia,2011,68.7
Indonesia,2012,68.8
Indonesia,2013,69
Indonesia,2014,69.3
Indonesia,2015,69.5
Indonesia,2016,69.7
Indonesia,2017,69.8
Indonesia,2018,69.9
Indonesia,2019,70.3
Indonesia,2020,70.5
Indonesia,2021,68.8
Indonesia,2022,67.6
